Raw Weather Data for La Canada Flintridge, CA
	Average Visibility
1978-03-02	3.3	BURBANK-GLENDALE-PAS
1978-03-03	7.3	BURBANK-GLENDALE-PAS
1978-03-04	4.0	BURBANK-GLENDALE-PAS
1978-03-05	7.2	BURBANK-GLENDALE-PAS
1978-03-06	8.1	BURBANK-GLENDALE-PAS
1978-03-07	8.7	BURBANK-GLENDALE-PAS
1978-03-08	39.8	MOUNT WILSON
1978-03-09	11.1	BURBANK-GLENDALE-PAS
1978-03-10	8.9	BURBANK-GLENDALE-PAS
1978-03-11	12.2	BURBANK-GLENDALE-PAS
1978-03-12	19.4	BURBANK-GLENDALE-PAS
1978-03-13	41.0	MOUNT WILSON
1978-03-14	26.2	MOUNT WILSON
1978-03-15	20.3	BURBANK-GLENDALE-PAS
1978-03-16	44.7	MOUNT WILSON
1978-03-17	42.3	MOUNT WILSON
1978-03-18	30.3	BURBANK-GLENDALE-PAS
1978-03-19	38.5	MOUNT WILSON
1978-03-20	33.6	MOUNT WILSON
1978-03-21	5.6	BURBANK-GLENDALE-PAS
1978-03-22	7.2	BURBANK-GLENDALE-PAS
1978-03-23	15.3	BURBANK-GLENDALE-PAS
1978-03-24	29.9	MOUNT WILSON
1978-03-25	27.8	BURBANK-GLENDALE-PAS
1978-03-26	25.8	BURBANK-GLENDALE-PAS
1978-03-27	5.8	BURBANK-GLENDALE-PAS
1978-03-28	4.4	BURBANK-GLENDALE-PAS
1978-03-29	2.3	BURBANK-GLENDALE-PAS
1978-03-30	6.1	BURBANK-GLENDALE-PAS
1978-03-31	9.3	BURBANK-GLENDALE-PAS
1978-04-01	24.6	BURBANK-GLENDALE-PAS
1978-04-02	26.5	BURBANK-GLENDALE-PAS
1978-04-03	19.0	MOUNT WILSON
1978-04-04	14.1	BURBANK-GLENDALE-PAS
1978-04-05	21.2	MOUNT WILSON
1978-04-06	13.8	BURBANK-GLENDALE-PAS
1978-04-07	20.5	BURBANK-GLENDALE-PAS
1978-04-08	24.9	BURBANK-GLENDALE-PAS
1978-04-09	37.3	MOUNT WILSON
1978-04-10	37.3	MOUNT WILSON
1978-04-11	36.0	MOUNT WILSON
1978-04-12	2.8	BURBANK-GLENDALE-PAS
1978-04-13	4.3	BURBANK-GLENDALE-PAS
1978-04-14	10.4	BURBANK-GLENDALE-PAS
1978-04-15	11.2	BURBANK-GLENDALE-PAS
1978-04-16	25.6	BURBANK-GLENDALE-PAS
1978-04-17	29.9	MOUNT WILSON
1978-04-18	41.0	MOUNT WILSON
1978-04-19	36.0	MOUNT WILSON
1978-04-20	7.7	BURBANK-GLENDALE-PAS
1978-04-21	25.9	BURBANK-GLENDALE-PAS
1978-04-22	24.0	BURBANK-GLENDALE-PAS
1978-04-23	25.7	BURBANK-GLENDALE-PAS
1978-04-24	37.3	MOUNT WILSON
1978-04-25	7.1	BURBANK-GLENDALE-PAS
1978-04-26	12.6	MOUNT WILSON
1978-04-27	16.4	BURBANK-GLENDALE-PAS
1978-04-28	8.1	BURBANK-GLENDALE-PAS
1978-04-29	32.3	MOUNT WILSON
1978-04-30	5.9	BURBANK-GLENDALE-PAS
1978-05-01	16.2	BURBANK-GLENDALE-PAS
1978-05-02	31.1	MOUNT WILSON
1978-05-03	34.8	MOUNT WILSON
1978-05-04	34.8	MOUNT WILSON
1978-05-05	34.8	MOUNT WILSON
1978-05-06	23.7	MOUNT WILSON
1978-05-07	25.3	BURBANK-GLENDALE-PAS
1978-05-08	24.4	BURBANK-GLENDALE-PAS
1978-05-09	21.5	BURBANK-GLENDALE-PAS
1978-05-10	41.0	MOUNT WILSON
1978-05-11	23.7	MOUNT WILSON
1978-05-12	9.7	BURBANK-GLENDALE-PAS
1978-05-13	41.0	MOUNT WILSON
1978-05-14	38.5	MOUNT WILSON
1978-05-15	27.9	MOUNT WILSON
1978-05-16	19.4	BURBANK-GLENDALE-PAS
1978-05-17	34.6	BURBANK-GLENDALE-PAS
1978-05-18	44.7	MOUNT WILSON
1978-05-19	38.8	MOUNT WILSON
1978-05-20	7.0	BURBANK-GLENDALE-PAS
1978-05-21	37.3	MOUNT WILSON
1978-05-22	4.0	BURBANK-GLENDALE-PAS
1978-05-23	22.5	MOUNT WILSON
1978-05-24	15.1	BURBANK-GLENDALE-PAS
1978-05-25	37.3	MOUNT WILSON
1978-05-26	10.6	BURBANK-GLENDALE-PAS
1978-05-27	9.9	BURBANK-GLENDALE-PAS
1978-05-28	44.7	MOUNT WILSON
1978-05-29	40.8	MOUNT WILSON
1978-05-30	39.8	MOUNT WILSON
1978-05-31	5.8	BURBANK-GLENDALE-PAS
1978-06-01	6.3	BURBANK-GLENDALE-PAS
1978-06-02	6.9	BURBANK-GLENDALE-PAS
1978-06-03	6.2	BURBANK-GLENDALE-PAS
1978-06-04	34.8	MOUNT WILSON
1978-06-05	9.4	BURBANK-GLENDALE-PAS
1978-06-06	2.5	BURBANK-GLENDALE-PAS
1978-06-07	3.0	BURBANK-GLENDALE-PAS
1978-06-08	3.1	BURBANK-GLENDALE-PAS
1978-06-09	2.6	BURBANK-GLENDALE-PAS
1978-06-10	3.0	BURBANK-GLENDALE-PAS
1978-06-11	34.8	MOUNT WILSON
1978-06-12	5.9	BURBANK-GLENDALE-PAS
1978-06-13	13.8	BURBANK-GLENDALE-PAS
1978-06-14	47.2	MOUNT WILSON
1978-06-15	41.0	MOUNT WILSON
1978-06-16	15.7	BURBANK-GLENDALE-PAS
1978-06-17	17.4	BURBANK-GLENDALE-PAS
1978-06-18	37.3	MOUNT WILSON
1978-06-19	38.5	MOUNT WILSON
1978-06-20	16.6	BURBANK-GLENDALE-PAS
1978-06-21	13.5	BURBANK-GLENDALE-PAS
1978-06-22	13.3	BURBANK-GLENDALE-PAS
1978-06-23	9.2	BURBANK-GLENDALE-PAS
1978-06-24	37.3	MOUNT WILSON
1978-06-25	19.5	BURBANK-GLENDALE-PAS
1978-06-26	9.9	BURBANK-GLENDALE-PAS
1978-06-27	27.9	MOUNT WILSON
1978-06-28	23.7	MOUNT WILSON
1978-06-29	9.4	BURBANK-GLENDALE-PAS
1978-06-30	10.0	BURBANK-GLENDALE-PAS
1978-07-01	37.3	MOUNT WILSON
1978-07-02	18.2	BURBANK-GLENDALE-PAS
1978-07-03	17.9	BURBANK-GLENDALE-PAS
1978-07-04	39.8	MOUNT WILSON
1978-07-05	37.8	MOUNT WILSON
1978-07-06	8.8	BURBANK-GLENDALE-PAS
1978-07-07	5.6	BURBANK-GLENDALE-PAS
1978-07-08	9.4	BURBANK-GLENDALE-PAS
1978-07-09	8.7	BURBANK-GLENDALE-PAS
1978-07-10	7.6	BURBANK-GLENDALE-PAS
1978-07-11	5.1	BURBANK-GLENDALE-PAS
1978-07-12	10.3	BURBANK-GLENDALE-PAS
1978-07-13	47.7	MOUNT WILSON
1978-07-14	11.6	BURBANK-GLENDALE-PAS
1978-07-15	14.2	BURBANK-GLENDALE-PAS
1978-07-16	36.0	MOUNT WILSON
1978-07-17	34.8	MOUNT WILSON
1978-07-18	34.8	MOUNT WILSON
1978-07-19	32.3	MOUNT WILSON
1978-07-20	52.2	MOUNT WILSON
1978-07-21	43.5	MOUNT WILSON
1978-07-22	32.8	MOUNT WILSON
1978-07-23	10.0	BURBANK-GLENDALE-PAS
1978-07-24	38.5	MOUNT WILSON
1978-07-25	39.8	MOUNT WILSON
1978-07-26	9.9	BURBANK-GLENDALE-PAS
1978-07-27	9.9	BURBANK-GLENDALE-PAS
1978-07-28	8.6	BURBANK-GLENDALE-PAS
1978-07-29	42.3	MOUNT WILSON
1978-07-30	8.9	BURBANK-GLENDALE-PAS
1978-07-31	8.5	BURBANK-GLENDALE-PAS
1978-08-01	34.8	MOUNT WILSON
1978-08-02	4.5	BURBANK-GLENDALE-PAS
1978-08-03	6.7	BURBANK-GLENDALE-PAS
1978-08-04	6.2	BURBANK-GLENDALE-PAS
1978-08-05	6.3	BURBANK-GLENDALE-PAS
1978-08-06	29.8	MOUNT WILSON
1978-08-07	34.8	MOUNT WILSON
1978-08-08	34.8	MOUNT WILSON
1978-08-09	8.9	BURBANK-GLENDALE-PAS
1978-08-10	4.7	BURBANK-GLENDALE-PAS
1978-08-11	37.3	MOUNT WILSON
1978-08-12	5.9	BURBANK-GLENDALE-PAS
1978-08-13	5.5	BURBANK-GLENDALE-PAS
1978-08-14	6.0	BURBANK-GLENDALE-PAS
1978-08-15	41.0	MOUNT WILSON
1978-08-16	9.9	BURBANK-GLENDALE-PAS
1978-08-17	42.8	MOUNT WILSON
1978-08-18	10.1	BURBANK-GLENDALE-PAS
1978-08-19	7.9	BURBANK-GLENDALE-PAS
1978-08-20	9.3	BURBANK-GLENDALE-PAS
1978-08-21	13.4	BURBANK-GLENDALE-PAS
1978-08-22	38.5	MOUNT WILSON
1978-08-23	38.5	MOUNT WILSON
1978-08-24	10.8	BURBANK-GLENDALE-PAS
1978-08-25	39.8	MOUNT WILSON
1978-08-26	10.3	BURBANK-GLENDALE-PAS
1978-08-27	8.4	BURBANK-GLENDALE-PAS
1978-08-28	6.4	BURBANK-GLENDALE-PAS
1978-08-29	34.8	MOUNT WILSON
1978-08-30	33.6	MOUNT WILSON
1978-08-31	2.4	BURBANK-GLENDALE-PAS
1978-09-01	32.3	MOUNT WILSON
1978-09-02	3.9	BURBANK-GLENDALE-PAS
1978-09-03	21.5	BURBANK-GLENDALE-PAS
1978-09-04	47.2	MOUNT WILSON
1978-09-05	11.9	BURBANK-GLENDALE-PAS
1978-09-06	6.0	BURBANK-GLENDALE-PAS
1978-09-07	16.6	BURBANK-GLENDALE-PAS
1978-09-08	23.7	MOUNT WILSON
1978-09-09	10.7	BURBANK-GLENDALE-PAS
1978-09-10	34.8	MOUNT WILSON
1978-09-11	10.3	BURBANK-GLENDALE-PAS
1978-09-12	34.8	MOUNT WILSON
1978-09-13	36.8	MOUNT WILSON
1978-09-14	5.6	BURBANK-GLENDALE-PAS
1978-09-15	10.4	BURBANK-GLENDALE-PAS
1978-09-16	6.0	BURBANK-GLENDALE-PAS
1978-09-17	5.1	BURBANK-GLENDALE-PAS
1978-09-18	19.1	BURBANK-GLENDALE-PAS
1978-09-19	42.0	BURBANK-GLENDALE-PAS
1978-09-20	43.5	MOUNT WILSON
1978-09-21	33.6	BURBANK-GLENDALE-PAS
1978-09-22	29.8	BURBANK-GLENDALE-PAS
1978-09-23	35.7	BURBANK-GLENDALE-PAS
1978-09-24	41.4	BURBANK-GLENDALE-PAS
1978-09-25	39.3	BURBANK-GLENDALE-PAS
1978-09-26	52.2	MOUNT WILSON
1978-09-27	43.5	MOUNT WILSON
1978-09-28	7.3	BURBANK-GLENDALE-PAS
1978-09-29	37.3	MOUNT WILSON
1978-09-30	6.6	BURBANK-GLENDALE-PAS
1978-10-01	38.5	MOUNT WILSON
1978-10-02	34.8	MOUNT WILSON
1978-10-03	2.1	BURBANK-GLENDALE-PAS
1978-10-04	2.3	BURBANK-GLENDALE-PAS
1978-10-05	1.8	BURBANK-GLENDALE-PAS
1978-10-06	1.5	BURBANK-GLENDALE-PAS
1978-10-07	1.2	BURBANK-GLENDALE-PAS
1978-10-08	34.8	MOUNT WILSON
1978-10-09	9.0	BURBANK-GLENDALE-PAS
1978-10-10	46.0	MOUNT WILSON
1978-10-11	43.5	MOUNT WILSON
1978-10-12	11.3	BURBANK-GLENDALE-PAS
1978-10-13	42.3	MOUNT WILSON
1978-10-14	38.5	MOUNT WILSON
1978-10-15	42.3	MOUNT WILSON
1978-10-16	6.2	BURBANK-GLENDALE-PAS
1978-10-17	4.4	BURBANK-GLENDALE-PAS
1978-10-18	6.0	BURBANK-GLENDALE-PAS
1978-10-19	10.7	BURBANK-GLENDALE-PAS
1978-10-20	11.5	BURBANK-GLENDALE-PAS
1978-10-21	4.5	BURBANK-GLENDALE-PAS
1978-10-22	23.7	MOUNT WILSON
1978-10-23	24.0	BURBANK-GLENDALE-PAS
1978-10-24	19.1	BURBANK-GLENDALE-PAS
1978-10-25	23.7	MOUNT WILSON
1978-10-26	34.8	MOUNT WILSON
1978-10-27	4.0	BURBANK-GLENDALE-PAS
1978-10-28	34.8	MOUNT WILSON
1978-10-29	1.9	BURBANK-GLENDALE-PAS
1978-10-30	2.9	BURBANK-GLENDALE-PAS
1978-10-31	0.2	MOUNT WILSON
1978-11-01	15.0	MOUNT WILSON
1978-11-02	15.1	BURBANK-GLENDALE-PAS
1978-11-03	43.5	MOUNT WILSON
1978-11-04	36.0	MOUNT WILSON
1978-11-05	4.2	BURBANK-GLENDALE-PAS
1978-11-06	8.4	BURBANK-GLENDALE-PAS
1978-11-07	13.1	BURBANK-GLENDALE-PAS
1978-11-08	38.5	MOUNT WILSON
1978-11-09	34.8	MOUNT WILSON
1978-11-10	4.8	BURBANK-GLENDALE-PAS
1978-11-11	11.2	BURBANK-GLENDALE-PAS
1978-11-12	24.4	BURBANK-GLENDALE-PAS
1978-11-13	13.2	BURBANK-GLENDALE-PAS
1978-11-14	12.6	BURBANK-GLENDALE-PAS
1978-11-15	28.2	BURBANK-GLENDALE-PAS
1978-11-16	26.4	BURBANK-GLENDALE-PAS
1978-11-17	8.1	BURBANK-GLENDALE-PAS
1978-11-18	41.0	MOUNT WILSON
1978-11-19	17.4	BURBANK-GLENDALE-PAS
1978-11-20	4.8	BURBANK-GLENDALE-PAS
1978-11-21	7.3	BURBANK-GLENDALE-PAS
1978-11-22	9.6	BURBANK-GLENDALE-PAS
1978-11-23	23.7	MOUNT WILSON
1978-11-24	32.1	BURBANK-GLENDALE-PAS
1978-11-25	19.7	BURBANK-GLENDALE-PAS
1978-11-26	17.6	MOUNT WILSON
1978-11-27	34.8	MOUNT WILSON
1978-11-28	41.0	MOUNT WILSON
1978-11-29	34.8	MOUNT WILSON
1978-11-30	5.9	BURBANK-GLENDALE-PAS
1978-12-01	2.2	BURBANK-GLENDALE-PAS
1978-12-02	32.4	MOUNT WILSON
1978-12-04	43.5	MOUNT WILSON
1978-12-05	43.5	MOUNT WILSON
1978-12-06	23.7	BURBANK-GLENDALE-PAS
1978-12-07	32.5	BURBANK-GLENDALE-PAS
1978-12-08	27.6	BURBANK-GLENDALE-PAS
1978-12-09	23.7	BURBANK-GLENDALE-PAS
1978-12-10	47.2	MOUNT WILSON
1978-12-11	34.3	BURBANK-GLENDALE-PAS
1978-12-12	23.1	BURBANK-GLENDALE-PAS
1978-12-13	43.5	MOUNT WILSON
1978-12-14	39.8	MOUNT WILSON
1978-12-15	41.0	MOUNT WILSON
1978-12-16	37.8	MOUNT WILSON
1978-12-17	5.0	BURBANK-GLENDALE-PAS
1978-12-18	6.9	BURBANK-GLENDALE-PAS
1978-12-19	0.2	MOUNT WILSON
1978-12-20	27.2	BURBANK-GLENDALE-PAS
1978-12-21	47.2	MOUNT WILSON
1978-12-22	27.8	BURBANK-GLENDALE-PAS
1978-12-23	11.5	BURBANK-GLENDALE-PAS
1978-12-24	15.2	BURBANK-GLENDALE-PAS
1978-12-25	34.8	MOUNT WILSON
1978-12-26	5.5	BURBANK-GLENDALE-PAS
1978-12-27	34.8	MOUNT WILSON
1978-12-28	2.9	BURBANK-GLENDALE-PAS
1978-12-29	28.6	MOUNT WILSON
1978-12-30	19.9	MOUNT WILSON
1978-12-31	43.5	MOUNT WILSON
1978-12-03	47.2	MOUNT WILSON
1979-01-01	37.3	MOUNT WILSON
1979-01-02	20.9	BURBANK-GLENDALE-PAS
1979-01-03	47.2	MOUNT WILSON
1979-01-04	14.9	BURBANK-GLENDALE-PAS
1979-01-05	23.8	MOUNT WILSON
1979-01-06	18.2	BURBANK-GLENDALE-PAS
1979-01-07	6.5	MOUNT WILSON
1979-01-08	9.3	BURBANK-GLENDALE-PAS
1979-01-09	9.1	BURBANK-GLENDALE-PAS
1979-01-10	27.0	BURBANK-GLENDALE-PAS
1979-01-11	7.2	BURBANK-GLENDALE-PAS
1979-01-12	8.4	BURBANK-GLENDALE-PAS
1979-01-13	47.2	MOUNT WILSON
1979-01-14	47.2	MOUNT WILSON
1979-01-15	0.2	MOUNT WILSON
1979-01-16	12.4	BURBANK-GLENDALE-PAS
1979-01-17	20.0	BURBANK-GLENDALE-PAS
1979-01-18	15.2	BURBANK-GLENDALE-PAS
1979-01-19	14.4	BURBANK-GLENDALE-PAS
1979-01-20	14.3	BURBANK-GLENDALE-PAS
1979-01-21	23.4	BURBANK-GLENDALE-PAS
1979-01-22	34.8	MOUNT WILSON
1979-01-23	23.7	MOUNT WILSON
1979-01-24	10.6	BURBANK-GLENDALE-PAS
1979-01-25	12.8	BURBANK-GLENDALE-PAS
1979-01-26	29.2	BURBANK-GLENDALE-PAS
1979-01-27	19.5	BURBANK-GLENDALE-PAS
1979-01-28	22.5	MOUNT WILSON
1979-01-29	24.2	BURBANK-GLENDALE-PAS
1979-01-30	17.8	BURBANK-GLENDALE-PAS
1979-01-31	10.1	BURBANK-GLENDALE-PAS
1979-02-01	10.2	BURBANK-GLENDALE-PAS
1979-02-02	0.2	MOUNT WILSON
1979-02-03	28.6	BURBANK-GLENDALE-PAS
1979-02-04	49.7	MOUNT WILSON
1979-02-05	34.1	BURBANK-GLENDALE-PAS
1979-02-06	41.0	MOUNT WILSON
1979-02-07	38.5	MOUNT WILSON
1979-02-08	34.8	MOUNT WILSON
1979-02-09	8.0	BURBANK-GLENDALE-PAS
1979-02-10	11.4	BURBANK-GLENDALE-PAS
1979-02-11	7.3	BURBANK-GLENDALE-PAS
1979-02-12	4.2	BURBANK-GLENDALE-PAS
1979-02-13	5.0	BURBANK-GLENDALE-PAS
1979-02-14	8.0	BURBANK-GLENDALE-PAS
1979-02-15	21.3	MOUNT WILSON
1979-02-16	12.6	MOUNT WILSON
1979-02-17	18.4	BURBANK-GLENDALE-PAS
1979-02-18	34.8	MOUNT WILSON
1979-02-19	12.4	BURBANK-GLENDALE-PAS
1979-02-20	8.9	BURBANK-GLENDALE-PAS
1979-02-21	7.6	MOUNT WILSON
1979-02-22	13.5	BURBANK-GLENDALE-PAS
1979-02-23	11.4	MOUNT WILSON
1979-02-24	28.5	BURBANK-GLENDALE-PAS
1979-02-25	27.0	BURBANK-GLENDALE-PAS
1979-02-26	14.4	BURBANK-GLENDALE-PAS
1979-02-27	32.4	MOUNT WILSON
1979-02-28	39.8	MOUNT WILSON
1979-03-01	8.5	BURBANK-GLENDALE-PAS
1979-03-02	30.0	MOUNT WILSON
1979-03-03	43.5	MOUNT WILSON
1979-03-04	38.5	MOUNT WILSON
1979-03-05	47.2	MOUNT WILSON
1979-03-06	38.0	BURBANK-GLENDALE-PAS
1979-03-07	47.2	MOUNT WILSON
1979-03-08	41.0	MOUNT WILSON
1979-03-09	2.2	BURBANK-GLENDALE-PAS
1979-03-10	34.8	MOUNT WILSON
1979-03-11	34.8	MOUNT WILSON
1979-03-12	39.8	MOUNT WILSON
1979-03-13	5.1	BURBANK-GLENDALE-PAS
1979-03-14	9.0	BURBANK-GLENDALE-PAS
1979-03-15	6.5	MOUNT WILSON
1979-03-16	12.1	BURBANK-GLENDALE-PAS
1979-03-17	11.4	MOUNT WILSON
1979-03-18	12.3	MOUNT WILSON
1979-03-19	12.7	BURBANK-GLENDALE-PAS
1979-03-20	6.4	MOUNT WILSON
1979-03-21	12.6	MOUNT WILSON
1979-03-22	5.2	MOUNT WILSON
1979-03-23	29.8	MOUNT WILSON
1979-03-24	39.8	MOUNT WILSON
1979-03-25	37.3	MOUNT WILSON
1979-03-26	23.7	MOUNT WILSON
1979-03-27	0.2	MOUNT WILSON
1979-03-28	12.1	BURBANK-GLENDALE-PAS
1979-03-29	12.7	BURBANK-GLENDALE-PAS
1979-03-30	11.7	BURBANK-GLENDALE-PAS
1979-03-31	18.5	BURBANK-GLENDALE-PAS
1979-04-01	39.8	MOUNT WILSON
1979-04-02	40.8	MOUNT WILSON
1979-04-03	43.5	MOUNT WILSON
1979-04-04	37.3	MOUNT WILSON
1979-04-05	37.3	MOUNT WILSON
1979-04-06	11.8	BURBANK-GLENDALE-PAS
1979-04-07	7.6	BURBANK-GLENDALE-PAS
1979-04-08	23.7	MOUNT WILSON
1979-04-09	23.7	MOUNT WILSON
1979-04-10	37.3	MOUNT WILSON
1979-04-11	42.5	MOUNT WILSON
1979-04-12	43.5	MOUNT WILSON
1979-04-13	37.3	MOUNT WILSON
1979-04-14	38.5	MOUNT WILSON
1979-04-15	5.3	BURBANK-GLENDALE-PAS
1979-04-16	3.1	BURBANK-GLENDALE-PAS
1979-04-17	9.7	BURBANK-GLENDALE-PAS
1979-04-18	28.6	MOUNT WILSON
1979-04-19	37.3	MOUNT WILSON
1979-04-20	12.0	BURBANK-GLENDALE-PAS
1979-04-21	12.1	BURBANK-GLENDALE-PAS
1979-04-22	39.8	MOUNT WILSON
1979-04-23	39.8	MOUNT WILSON
1979-04-24	44.7	MOUNT WILSON
1979-04-25	43.5	MOUNT WILSON
1979-04-26	17.6	BURBANK-GLENDALE-PAS
1979-04-27	16.6	BURBANK-GLENDALE-PAS
1979-04-28	34.8	MOUNT WILSON
1979-04-29	34.8	MOUNT WILSON
1979-04-30	34.8	MOUNT WILSON
1979-05-01	27.4	MOUNT WILSON
1979-05-02	17.5	MOUNT WILSON
1979-05-03	24.0	MOUNT WILSON
1979-05-04	4.5	BURBANK-GLENDALE-PAS
1979-05-05	38.5	MOUNT WILSON
1979-05-06	21.3	MOUNT WILSON
1979-05-07	12.6	MOUNT WILSON
1979-05-08	22.6	BURBANK-GLENDALE-PAS
1979-05-09	24.0	BURBANK-GLENDALE-PAS
1979-05-10	44.7	MOUNT WILSON
1979-05-11	47.2	MOUNT WILSON
1979-05-12	32.0	BURBANK-GLENDALE-PAS
1979-05-13	29.4	BURBANK-GLENDALE-PAS
1979-05-14	39.8	MOUNT WILSON
1979-05-15	38.5	MOUNT WILSON
1979-05-16	34.8	MOUNT WILSON
1979-05-17	4.7	BURBANK-GLENDALE-PAS
1979-05-18	5.5	BURBANK-GLENDALE-PAS
1979-05-19	6.8	BURBANK-GLENDALE-PAS
1979-05-20	23.7	MOUNT WILSON
1979-05-21	29.8	MOUNT WILSON
1979-05-22	38.5	MOUNT WILSON
1979-05-23	34.8	MOUNT WILSON
1979-05-24	37.3	MOUNT WILSON
1979-05-25	34.8	MOUNT WILSON
1979-05-26	34.8	MOUNT WILSON
1979-05-27	34.8	MOUNT WILSON
1979-05-28	34.8	MOUNT WILSON
1979-05-29	34.8	MOUNT WILSON
1979-05-30	8.6	BURBANK-GLENDALE-PAS
1979-05-31	34.8	MOUNT WILSON
1979-06-01	34.8	MOUNT WILSON
1979-06-02	34.8	MOUNT WILSON
1979-06-03	34.8	MOUNT WILSON
1979-06-04	3.5	BURBANK-GLENDALE-PAS
1979-06-05	34.8	MOUNT WILSON
1979-06-06	34.8	MOUNT WILSON
1979-06-07	34.8	MOUNT WILSON
1979-06-08	38.5	MOUNT WILSON
1979-06-09	43.5	MOUNT WILSON
1979-06-10	43.5	MOUNT WILSON
1979-06-11	47.2	MOUNT WILSON
1979-06-12	43.5	MOUNT WILSON
1979-06-13	18.9	BURBANK-GLENDALE-PAS
1979-06-14	16.4	BURBANK-GLENDALE-PAS
1979-06-15	13.2	BURBANK-GLENDALE-PAS
1979-06-16	34.8	MOUNT WILSON
1979-06-17	17.5	MOUNT WILSON
1979-06-18	23.7	MOUNT WILSON
1979-06-19	27.4	MOUNT WILSON
1979-06-20	43.5	MOUNT WILSON
1979-06-21	7.2	BURBANK-GLENDALE-PAS
1979-06-22	34.8	MOUNT WILSON
1979-06-23	7.1	BURBANK-GLENDALE-PAS
1979-06-24	34.8	MOUNT WILSON
1979-06-25	34.8	MOUNT WILSON
1979-06-26	34.8	MOUNT WILSON
1979-06-27	41.0	MOUNT WILSON
1979-06-28	44.7	MOUNT WILSON
1979-06-29	39.8	MOUNT WILSON
1979-06-30	10.2	BURBANK-GLENDALE-PAS
1979-07-01	9.8	BURBANK-GLENDALE-PAS
1979-07-02	38.5	MOUNT WILSON
1979-07-03	34.8	MOUNT WILSON
1979-07-04	34.8	MOUNT WILSON
1979-07-05	34.8	MOUNT WILSON
1979-07-06	37.3	MOUNT WILSON
1979-07-07	12.2	BURBANK-GLENDALE-PAS
1979-07-08	43.5	MOUNT WILSON
1979-07-09	43.5	MOUNT WILSON
1979-07-10	47.2	MOUNT WILSON
1979-07-11	43.5	MOUNT WILSON
1979-07-12	37.3	MOUNT WILSON
1979-07-13	34.8	MOUNT WILSON
1979-07-14	34.8	MOUNT WILSON
1979-07-15	5.2	BURBANK-GLENDALE-PAS
1979-07-16	38.5	MOUNT WILSON
1979-07-17	8.1	BURBANK-GLENDALE-PAS
1979-07-18	8.0	BURBANK-GLENDALE-PAS
1979-07-19	7.5	BURBANK-GLENDALE-PAS
1979-07-20	34.8	MOUNT WILSON
1979-07-21	6.8	BURBANK-GLENDALE-PAS
1979-07-22	37.3	MOUNT WILSON
1979-07-23	39.8	MOUNT WILSON
1979-07-24	37.3	MOUNT WILSON
1979-07-25	4.0	BURBANK-GLENDALE-PAS
1979-07-26	4.1	BURBANK-GLENDALE-PAS
1979-07-27	42.3	MOUNT WILSON
1979-07-28	9.0	BURBANK-GLENDALE-PAS
1979-07-29	39.8	MOUNT WILSON
1979-07-30	38.5	MOUNT WILSON
1979-07-31	38.5	MOUNT WILSON
1979-08-01	7.1	BURBANK-GLENDALE-PAS
1979-08-02	5.5	BURBANK-GLENDALE-PAS
1979-08-03	34.8	MOUNT WILSON
1979-08-04	38.5	MOUNT WILSON
1979-08-05	34.8	MOUNT WILSON
1979-08-06	8.8	BURBANK-GLENDALE-PAS
1979-08-07	39.8	MOUNT WILSON
1979-08-08	47.2	MOUNT WILSON
1979-08-09	12.6	BURBANK-GLENDALE-PAS
1979-08-10	41.0	MOUNT WILSON
1979-08-11	38.5	MOUNT WILSON
1979-08-12	34.8	MOUNT WILSON
1979-08-13	23.7	MOUNT WILSON
1979-08-14	34.8	MOUNT WILSON
1979-08-15	7.9	BURBANK-GLENDALE-PAS
1979-08-16	6.0	BURBANK-GLENDALE-PAS
1979-08-17	7.5	BURBANK-GLENDALE-PAS
1979-08-18	3.6	BURBANK-GLENDALE-PAS
1979-08-19	34.8	MOUNT WILSON
1979-08-20	34.8	MOUNT WILSON
1979-08-21	38.5	MOUNT WILSON
1979-08-22	47.2	MOUNT WILSON
1979-08-23	47.2	MOUNT WILSON
1979-08-24	14.3	BURBANK-GLENDALE-PAS
1979-08-25	9.3	BURBANK-GLENDALE-PAS
1979-08-26	11.3	BURBANK-GLENDALE-PAS
1979-08-27	7.7	BURBANK-GLENDALE-PAS
1979-08-28	4.3	BURBANK-GLENDALE-PAS
1979-08-29	5.8	BURBANK-GLENDALE-PAS
1979-08-30	34.8	MOUNT WILSON
1979-08-31	34.8	MOUNT WILSON
1979-09-01	5.1	BURBANK-GLENDALE-PAS
1979-09-02	34.8	MOUNT WILSON
1979-09-03	38.5	MOUNT WILSON
1979-09-04	17.2	BURBANK-GLENDALE-PAS
1979-09-05	46.7	MOUNT WILSON
1979-09-06	5.5	BURBANK-GLENDALE-PAS
1979-09-07	4.6	BURBANK-GLENDALE-PAS
1979-09-08	42.3	MOUNT WILSON
1979-09-09	47.2	MOUNT WILSON
1979-09-10	42.3	MOUNT WILSON
1979-09-11	7.5	BURBANK-GLENDALE-PAS
1979-09-12	4.3	BURBANK-GLENDALE-PAS
1979-09-13	4.4	BURBANK-GLENDALE-PAS
1979-09-14	5.5	BURBANK-GLENDALE-PAS
1979-09-15	9.8	BURBANK-GLENDALE-PAS
1979-09-16	39.8	MOUNT WILSON
1979-09-17	7.9	BURBANK-GLENDALE-PAS
1979-09-18	10.4	BURBANK-GLENDALE-PAS
1979-09-19	9.0	BURBANK-GLENDALE-PAS
