Raw Weather Data for La Canada Flintridge, CA
	Maximum Daily Temperature
1979-11-04	71.1	BURBANK-GLENDALE-PAS
1979-11-05	78.1	BURBANK-GLENDALE-PAS
1979-11-06	57.0	MOUNT WILSON
1979-11-07	73.0	BURBANK-GLENDALE-PAS
1979-11-08	66.9	BURBANK-GLENDALE-PAS
1979-11-09	68.0	BURBANK-GLENDALE-PAS
1979-11-10	72.0	BURBANK-GLENDALE-PAS
1979-11-11	59.0	MOUNT WILSON
1979-11-12	82.0	BURBANK-GLENDALE-PAS
1979-11-13	63.0	MOUNT WILSON
1979-11-14	60.1	MOUNT WILSON
1979-11-15	61.0	MOUNT WILSON
1979-11-16	82.0	BURBANK-GLENDALE-PAS
1979-11-17	61.0	MOUNT WILSON
1979-11-18	70.0	BURBANK-GLENDALE-PAS
1979-11-19	46.0	MOUNT WILSON
1979-11-20	37.9	MOUNT WILSON
1979-11-21	46.0	MOUNT WILSON
1979-11-22	52.0	MOUNT WILSON
1979-11-23	70.0	BURBANK-GLENDALE-PAS
1979-11-24	55.0	MOUNT WILSON
1979-11-25	75.9	BURBANK-GLENDALE-PAS
1979-11-26	72.0	BURBANK-GLENDALE-PAS
1979-11-27	57.0	MOUNT WILSON
1979-11-28	57.0	MOUNT WILSON
1979-11-29	59.0	MOUNT WILSON
1979-11-30	60.1	MOUNT WILSON
1979-12-01	84.0	BURBANK-GLENDALE-PAS
1979-12-02	80.1	BURBANK-GLENDALE-PAS
1979-12-03	82.0	BURBANK-GLENDALE-PAS
1979-12-04	90.0	BURBANK-GLENDALE-PAS
1979-12-05	69.1	MOUNT WILSON
1979-12-06	87.1	BURBANK-GLENDALE-PAS
1979-12-07	64.9	MOUNT WILSON
1979-12-08	80.1	BURBANK-GLENDALE-PAS
1979-12-10	61.0	BURBANK-GLENDALE-PAS
1979-12-11	66.9	BURBANK-GLENDALE-PAS
1979-12-12	68.0	BURBANK-GLENDALE-PAS
1979-12-13	75.9	BURBANK-GLENDALE-PAS
1979-12-14	78.1	BURBANK-GLENDALE-PAS
1979-12-15	80.1	BURBANK-GLENDALE-PAS
1979-12-16	80.1	BURBANK-GLENDALE-PAS
1979-12-17	53.1	MOUNT WILSON
1979-12-18	82.0	BURBANK-GLENDALE-PAS
1979-12-19	72.0	BURBANK-GLENDALE-PAS
1979-12-20	69.1	BURBANK-GLENDALE-PAS
1979-12-21	46.0	MOUNT WILSON
1979-12-22	62.1	BURBANK-GLENDALE-PAS
1979-12-23	39.0	MOUNT WILSON
1979-12-24	61.0	BURBANK-GLENDALE-PAS
1979-12-25	39.9	MOUNT WILSON
1979-12-26	66.0	BURBANK-GLENDALE-PAS
1979-12-27	64.9	BURBANK-GLENDALE-PAS
1979-12-28	37.9	MOUNT WILSON
1979-12-29	70.0	BURBANK-GLENDALE-PAS
1979-12-30	71.1	BURBANK-GLENDALE-PAS
1979-12-31	77.0	BURBANK-GLENDALE-PAS
1980-01-01	75.9	BURBANK-GLENDALE-PAS
1980-01-02	80.1	BURBANK-GLENDALE-PAS
1980-01-03	78.1	BURBANK-GLENDALE-PAS
1980-01-04	50.0	MOUNT WILSON
1980-01-05	73.0	BURBANK-GLENDALE-PAS
1980-01-06	69.1	BURBANK-GLENDALE-PAS
1980-01-07	39.9	MOUNT WILSON
1980-01-08	63.0	BURBANK-GLENDALE-PAS
1980-01-09	61.0	BURBANK-GLENDALE-PAS
1980-01-10	66.9	BURBANK-GLENDALE-PAS
1980-01-11	68.0	BURBANK-GLENDALE-PAS
1980-01-12	48.9	MOUNT WILSON
1980-01-13	66.0	BURBANK-GLENDALE-PAS
1980-01-14	64.9	BURBANK-GLENDALE-PAS
1980-01-15	64.9	BURBANK-GLENDALE-PAS
1980-01-16	60.1	BURBANK-GLENDALE-PAS
1980-01-17	46.0	MOUNT WILSON
1980-01-18	61.0	BURBANK-GLENDALE-PAS
1980-01-19	62.1	BURBANK-GLENDALE-PAS
1980-01-20	66.9	BURBANK-GLENDALE-PAS
1980-01-21	71.1	BURBANK-GLENDALE-PAS
1980-01-22	71.1	BURBANK-GLENDALE-PAS
1980-01-23	59.0	MOUNT WILSON
1980-01-24	52.0	MOUNT WILSON
1980-01-25	55.9	MOUNT WILSON
1980-01-26	62.1	BURBANK-GLENDALE-PAS
1980-01-27	37.9	MOUNT WILSON
1980-01-28	59.0	BURBANK-GLENDALE-PAS
1980-01-29	60.1	BURBANK-GLENDALE-PAS
1980-01-30	42.1	MOUNT WILSON
1980-01-31	50.0	MOUNT WILSON
1980-02-01	57.0	MOUNT WILSON
1980-02-02	81.0	BURBANK-GLENDALE-PAS
1980-02-03	88.0	BURBANK-GLENDALE-PAS
1980-02-04	80.1	BURBANK-GLENDALE-PAS
1980-02-05	84.9	BURBANK-GLENDALE-PAS
1980-02-06	79.0	BURBANK-GLENDALE-PAS
1980-02-07	73.0	BURBANK-GLENDALE-PAS
1980-02-08	39.9	MOUNT WILSON
1980-02-09	72.0	BURBANK-GLENDALE-PAS
1980-02-10	72.0	BURBANK-GLENDALE-PAS
1980-02-11	70.0	BURBANK-GLENDALE-PAS
1980-02-12	70.0	BURBANK-GLENDALE-PAS
1980-02-13	66.9	BURBANK-GLENDALE-PAS
1980-02-14	61.0	BURBANK-GLENDALE-PAS
1980-02-15	66.0	BURBANK-GLENDALE-PAS
1980-02-16	66.0	BURBANK-GLENDALE-PAS
1980-02-17	68.0	BURBANK-GLENDALE-PAS
1980-02-18	68.0	BURBANK-GLENDALE-PAS
1980-02-19	64.9	BURBANK-GLENDALE-PAS
1980-02-20	61.0	BURBANK-GLENDALE-PAS
1980-02-21	64.0	BURBANK-GLENDALE-PAS
1980-02-22	39.9	MOUNT WILSON
1980-02-23	46.0	MOUNT WILSON
1980-02-24	50.0	MOUNT WILSON
1980-02-25	55.9	MOUNT WILSON
1980-02-26	84.0	BURBANK-GLENDALE-PAS
1980-02-27	64.0	MOUNT WILSON
1980-02-28	70.0	BURBANK-GLENDALE-PAS
1980-02-29	73.0	BURBANK-GLENDALE-PAS
1980-03-01	71.1	BURBANK-GLENDALE-PAS
1980-03-02	64.9	BURBANK-GLENDALE-PAS
1980-03-03	62.1	BURBANK-GLENDALE-PAS
1980-03-04	68.0	BURBANK-GLENDALE-PAS
1980-03-05	66.9	BURBANK-GLENDALE-PAS
1980-03-06	59.0	BURBANK-GLENDALE-PAS
1980-03-07	62.1	BURBANK-GLENDALE-PAS
1980-03-08	70.0	BURBANK-GLENDALE-PAS
1980-03-09	75.9	BURBANK-GLENDALE-PAS
1980-03-10	55.0	MOUNT WILSON
1980-03-11	72.0	BURBANK-GLENDALE-PAS
1980-03-12	43.0	MOUNT WILSON
1980-03-13	75.9	BURBANK-GLENDALE-PAS
1980-03-14	75.9	BURBANK-GLENDALE-PAS
1980-03-15	73.9	BURBANK-GLENDALE-PAS
1980-03-16	75.0	BURBANK-GLENDALE-PAS
1980-03-17	57.9	MOUNT WILSON
1980-03-18	75.0	BURBANK-GLENDALE-PAS
1980-03-19	72.0	BURBANK-GLENDALE-PAS
1980-03-20	48.0	MOUNT WILSON
1980-03-21	69.1	BURBANK-GLENDALE-PAS
1980-03-22	70.0	BURBANK-GLENDALE-PAS
1980-03-23	70.0	BURBANK-GLENDALE-PAS
1980-03-24	68.0	BURBANK-GLENDALE-PAS
1980-03-25	66.0	BURBANK-GLENDALE-PAS
1980-03-26	71.1	BURBANK-GLENDALE-PAS
1980-03-27	72.0	BURBANK-GLENDALE-PAS
1980-03-28	75.0	BURBANK-GLENDALE-PAS
1980-03-29	81.0	BURBANK-GLENDALE-PAS
1980-03-30	75.0	BURBANK-GLENDALE-PAS
1980-03-31	72.0	BURBANK-GLENDALE-PAS
1980-04-01	69.1	BURBANK-GLENDALE-PAS
1980-04-02	68.0	BURBANK-GLENDALE-PAS
1980-04-03	45.0	MOUNT WILSON
1980-04-04	73.0	BURBANK-GLENDALE-PAS
1980-04-05	70.0	BURBANK-GLENDALE-PAS
1980-04-06	50.0	MOUNT WILSON
1980-04-07	62.1	MOUNT WILSON
1980-04-08	63.0	MOUNT WILSON
1980-04-09	88.0	BURBANK-GLENDALE-PAS
1980-04-10	84.9	BURBANK-GLENDALE-PAS
1980-04-11	70.0	MOUNT WILSON
1980-04-12	84.0	BURBANK-GLENDALE-PAS
1980-04-13	87.1	BURBANK-GLENDALE-PAS
1980-04-14	84.9	BURBANK-GLENDALE-PAS
1980-04-15	82.0	BURBANK-GLENDALE-PAS
1980-04-16	93.0	BURBANK-GLENDALE-PAS
1980-04-17	93.0	BURBANK-GLENDALE-PAS
1980-04-18	91.0	BURBANK-GLENDALE-PAS
1980-04-19	90.0	BURBANK-GLENDALE-PAS
1980-04-20	86.0	BURBANK-GLENDALE-PAS
1980-04-21	70.0	BURBANK-GLENDALE-PAS
1980-04-22	62.1	BURBANK-GLENDALE-PAS
1980-04-23	61.0	BURBANK-GLENDALE-PAS
1980-04-24	54.0	MOUNT WILSON
1980-04-25	64.9	MOUNT WILSON
1980-04-26	64.0	MOUNT WILSON
1980-04-27	69.1	MOUNT WILSON
1980-04-28	66.0	BURBANK-GLENDALE-PAS
1980-04-29	64.9	BURBANK-GLENDALE-PAS
1980-04-30	64.0	BURBANK-GLENDALE-PAS
1980-05-01	64.9	BURBANK-GLENDALE-PAS
1980-05-02	59.0	MOUNT WILSON
1980-05-03	82.9	BURBANK-GLENDALE-PAS
1980-05-04	68.0	MOUNT WILSON
1980-05-05	82.0	BURBANK-GLENDALE-PAS
1980-05-06	79.0	BURBANK-GLENDALE-PAS
1980-05-07	66.9	MOUNT WILSON
1980-05-08	68.0	BURBANK-GLENDALE-PAS
1980-05-09	70.0	BURBANK-GLENDALE-PAS
1980-05-10	41.0	MOUNT WILSON
1980-05-11	68.0	BURBANK-GLENDALE-PAS
1980-05-12	39.9	MOUNT WILSON
1980-05-13	75.0	BURBANK-GLENDALE-PAS
1980-05-14	69.1	BURBANK-GLENDALE-PAS
1980-05-15	70.0	BURBANK-GLENDALE-PAS
1980-05-16	75.9	BURBANK-GLENDALE-PAS
1980-05-17	68.0	MOUNT WILSON
1980-05-18	84.0	BURBANK-GLENDALE-PAS
1980-05-19	73.0	MOUNT WILSON
1980-05-20	82.0	BURBANK-GLENDALE-PAS
1980-05-21	64.9	BURBANK-GLENDALE-PAS
1980-05-22	64.0	BURBANK-GLENDALE-PAS
1980-05-23	70.0	BURBANK-GLENDALE-PAS
1980-05-24	71.1	BURBANK-GLENDALE-PAS
1980-05-25	71.1	BURBANK-GLENDALE-PAS
1980-05-26	71.1	BURBANK-GLENDALE-PAS
1980-05-27	68.0	BURBANK-GLENDALE-PAS
1980-05-28	45.0	MOUNT WILSON
1980-05-29	73.0	BURBANK-GLENDALE-PAS
1980-05-30	72.0	BURBANK-GLENDALE-PAS
1980-05-31	66.0	BURBANK-GLENDALE-PAS
1980-06-01	70.0	BURBANK-GLENDALE-PAS
1980-06-02	70.0	BURBANK-GLENDALE-PAS
1980-06-03	78.1	BURBANK-GLENDALE-PAS
1980-06-04	64.9	MOUNT WILSON
1980-06-05	79.0	BURBANK-GLENDALE-PAS
1980-06-06	75.9	BURBANK-GLENDALE-PAS
1980-06-07	64.0	MOUNT WILSON
1980-06-08	75.0	MOUNT WILSON
1980-06-09	88.0	BURBANK-GLENDALE-PAS
1980-06-10	84.0	BURBANK-GLENDALE-PAS
1980-06-11	82.0	BURBANK-GLENDALE-PAS
1980-06-12	84.0	BURBANK-GLENDALE-PAS
1980-06-13	82.0	BURBANK-GLENDALE-PAS
1980-06-14	71.1	MOUNT WILSON
1980-06-15	90.0	BURBANK-GLENDALE-PAS
1980-06-16	89.1	BURBANK-GLENDALE-PAS
1980-06-17	84.0	BURBANK-GLENDALE-PAS
1980-06-18	82.0	BURBANK-GLENDALE-PAS
1980-06-19	84.9	BURBANK-GLENDALE-PAS
1980-06-20	77.0	MOUNT WILSON
1980-06-21	84.9	BURBANK-GLENDALE-PAS
1980-06-22	86.0	BURBANK-GLENDALE-PAS
1980-06-23	75.0	MOUNT WILSON
1980-06-24	86.0	BURBANK-GLENDALE-PAS
1980-06-25	71.1	MOUNT WILSON
1980-06-26	93.0	BURBANK-GLENDALE-PAS
1980-06-27	97.0	BURBANK-GLENDALE-PAS
1980-06-28	98.1	BURBANK-GLENDALE-PAS
1980-06-29	100.9	BURBANK-GLENDALE-PAS
1980-06-30	93.9	BURBANK-GLENDALE-PAS
1980-07-01	88.0	BURBANK-GLENDALE-PAS
1980-07-02	63.0	MOUNT WILSON
1980-07-03	73.0	MOUNT WILSON
1980-07-04	79.0	MOUNT WILSON
1980-07-05	97.0	BURBANK-GLENDALE-PAS
1980-07-06	82.9	MOUNT WILSON
1980-07-07	90.0	BURBANK-GLENDALE-PAS
1980-07-08	89.1	BURBANK-GLENDALE-PAS
1980-07-09	91.9	BURBANK-GLENDALE-PAS
1980-07-10	96.1	BURBANK-GLENDALE-PAS
1980-07-11	82.0	MOUNT WILSON
1980-07-12	82.9	MOUNT WILSON
1980-07-13	75.0	MOUNT WILSON
1980-07-14	90.0	BURBANK-GLENDALE-PAS
1980-07-15	99.0	BURBANK-GLENDALE-PAS
1980-07-16	98.1	BURBANK-GLENDALE-PAS
1980-07-17	84.9	MOUNT WILSON
1980-07-18	86.0	MOUNT WILSON
1980-07-19	84.9	MOUNT WILSON
1980-07-20	88.0	BURBANK-GLENDALE-PAS
1980-07-21	84.9	MOUNT WILSON
1980-07-22	88.0	MOUNT WILSON
1980-07-23	95.0	BURBANK-GLENDALE-PAS
1980-07-24	95.0	BURBANK-GLENDALE-PAS
1980-07-25	96.1	BURBANK-GLENDALE-PAS
1980-07-26	96.1	BURBANK-GLENDALE-PAS
1980-07-27	97.0	BURBANK-GLENDALE-PAS
1980-07-28	100.0	BURBANK-GLENDALE-PAS
1980-07-29	102.9	BURBANK-GLENDALE-PAS
1980-07-30	100.9	BURBANK-GLENDALE-PAS
1980-07-31	98.1	BURBANK-GLENDALE-PAS
1980-08-01	99.0	BURBANK-GLENDALE-PAS
1980-08-02	95.0	BURBANK-GLENDALE-PAS
1980-08-03	91.9	BURBANK-GLENDALE-PAS
1980-08-04	82.0	MOUNT WILSON
1980-08-05	87.1	BURBANK-GLENDALE-PAS
1980-08-06	93.0	BURBANK-GLENDALE-PAS
1980-08-07	98.1	BURBANK-GLENDALE-PAS
1980-08-08	87.1	MOUNT WILSON
1980-08-09	100.0	BURBANK-GLENDALE-PAS
1980-08-10	97.0	BURBANK-GLENDALE-PAS
1980-08-11	98.1	BURBANK-GLENDALE-PAS
1980-08-12	91.0	MOUNT WILSON
1980-08-13	88.0	BURBANK-GLENDALE-PAS
1980-08-14	78.1	MOUNT WILSON
1980-08-15	81.0	BURBANK-GLENDALE-PAS
1980-08-16	81.0	BURBANK-GLENDALE-PAS
1980-08-17	82.0	BURBANK-GLENDALE-PAS
1980-08-18	72.0	MOUNT WILSON
1980-08-19	80.1	BURBANK-GLENDALE-PAS
1980-08-20	82.9	BURBANK-GLENDALE-PAS
1980-08-21	86.0	BURBANK-GLENDALE-PAS
1980-08-22	84.9	BURBANK-GLENDALE-PAS
1980-08-23	84.0	BURBANK-GLENDALE-PAS
1980-08-24	69.1	MOUNT WILSON
1980-08-25	70.0	MOUNT WILSON
1980-08-26	73.0	MOUNT WILSON
1980-08-27	88.0	BURBANK-GLENDALE-PAS
1980-08-28	87.1	BURBANK-GLENDALE-PAS
1980-08-29	89.1	BURBANK-GLENDALE-PAS
1980-08-30	86.0	BURBANK-GLENDALE-PAS
1980-08-31	82.9	BURBANK-GLENDALE-PAS
1980-09-01	75.9	MOUNT WILSON
1980-09-02	75.0	MOUNT WILSON
1980-09-03	87.1	BURBANK-GLENDALE-PAS
1980-09-04	77.0	MOUNT WILSON
1980-09-05	88.0	BURBANK-GLENDALE-PAS
1980-09-06	78.1	MOUNT WILSON
1980-09-07	82.9	BURBANK-GLENDALE-PAS
1980-09-08	73.9	BURBANK-GLENDALE-PAS
1980-09-09	69.1	MOUNT WILSON
1980-09-10	71.1	MOUNT WILSON
1980-09-11	84.0	BURBANK-GLENDALE-PAS
1980-09-12	81.0	BURBANK-GLENDALE-PAS
1980-09-13	79.0	BURBANK-GLENDALE-PAS
1980-09-14	75.9	BURBANK-GLENDALE-PAS
1980-09-15	77.0	BURBANK-GLENDALE-PAS
1980-09-16	89.1	BURBANK-GLENDALE-PAS
1980-09-17	98.1	BURBANK-GLENDALE-PAS
1980-09-18	95.0	BURBANK-GLENDALE-PAS
1980-09-19	82.9	BURBANK-GLENDALE-PAS
1980-09-20	70.0	MOUNT WILSON
1980-09-21	80.1	BURBANK-GLENDALE-PAS
1980-09-22	80.1	BURBANK-GLENDALE-PAS
1980-09-23	80.1	BURBANK-GLENDALE-PAS
1980-09-24	91.0	BURBANK-GLENDALE-PAS
1980-09-25	82.9	MOUNT WILSON
1980-09-26	91.0	BURBANK-GLENDALE-PAS
1980-09-27	90.0	BURBANK-GLENDALE-PAS
1980-09-28	88.0	BURBANK-GLENDALE-PAS
1980-09-29	102.9	BURBANK-GLENDALE-PAS
1980-09-30	108.0	BURBANK-GLENDALE-PAS
1980-10-01	109.0	BURBANK-GLENDALE-PAS
1980-10-02	87.1	MOUNT WILSON
1980-10-03	90.0	BURBANK-GLENDALE-PAS
1980-10-04	86.0	BURBANK-GLENDALE-PAS
1980-10-05	81.0	BURBANK-GLENDALE-PAS
1980-10-06	84.9	BURBANK-GLENDALE-PAS
1980-10-07	82.9	BURBANK-GLENDALE-PAS
1980-10-08	87.1	BURBANK-GLENDALE-PAS
1980-10-09	82.0	BURBANK-GLENDALE-PAS
1980-10-10	82.0	BURBANK-GLENDALE-PAS
1980-10-11	75.9	MOUNT WILSON
1980-10-12	73.9	MOUNT WILSON
1980-10-13	73.9	BURBANK-GLENDALE-PAS
1980-10-14	52.0	MOUNT WILSON
1980-10-15	71.1	BURBANK-GLENDALE-PAS
1980-10-16	70.0	BURBANK-GLENDALE-PAS
1980-10-17	50.0	MOUNT WILSON
1980-10-18	55.9	MOUNT WILSON
1980-10-19	63.0	MOUNT WILSON
1980-10-20	89.1	BURBANK-GLENDALE-PAS
1980-10-21	66.9	MOUNT WILSON
1980-10-22	84.0	BURBANK-GLENDALE-PAS
1980-10-23	89.1	BURBANK-GLENDALE-PAS
1980-10-24	90.0	BURBANK-GLENDALE-PAS
1980-10-25	70.0	MOUNT WILSON
1980-10-26	54.0	MOUNT WILSON
1980-10-27	78.1	BURBANK-GLENDALE-PAS
1980-10-28	81.0	BURBANK-GLENDALE-PAS
1980-10-29	82.9	BURBANK-GLENDALE-PAS
1980-10-30	88.0	BURBANK-GLENDALE-PAS
1980-10-31	88.0	BURBANK-GLENDALE-PAS
1980-11-01	66.0	MOUNT WILSON
1980-11-02	84.0	BURBANK-GLENDALE-PAS
1980-11-03	89.1	BURBANK-GLENDALE-PAS
1980-11-04	95.0	BURBANK-GLENDALE-PAS
1980-11-05	90.0	BURBANK-GLENDALE-PAS
1980-11-06	75.0	BURBANK-GLENDALE-PAS
1980-11-07	73.9	BURBANK-GLENDALE-PAS
1980-11-08	73.0	BURBANK-GLENDALE-PAS
1980-11-09	73.0	MOUNT WILSON
1980-11-10	68.0	BURBANK-GLENDALE-PAS
1980-11-11	68.0	BURBANK-GLENDALE-PAS
1980-11-12	50.0	MOUNT WILSON
1980-11-13	48.9	MOUNT WILSON
1980-11-14	51.1	MOUNT WILSON
1980-11-15	52.0	MOUNT WILSON
1980-11-16	69.1	BURBANK-GLENDALE-PAS
1980-11-17	72.0	BURBANK-GLENDALE-PAS
1980-11-18	53.1	MOUNT WILSON
1980-11-19	77.0	BURBANK-GLENDALE-PAS
1980-11-20	55.0	MOUNT WILSON
1980-11-21	79.0	BURBANK-GLENDALE-PAS
1980-11-22	71.1	BURBANK-GLENDALE-PAS
1980-11-23	69.1	BURBANK-GLENDALE-PAS
1980-11-24	54.0	MOUNT WILSON
1980-11-25	73.9	BURBANK-GLENDALE-PAS
1980-11-26	60.1	MOUNT WILSON
1980-11-27	82.9	BURBANK-GLENDALE-PAS
1980-11-28	72.0	MOUNT WILSON
1980-11-29	82.0	BURBANK-GLENDALE-PAS
1980-11-30	77.0	BURBANK-GLENDALE-PAS
1980-12-01	68.0	BURBANK-GLENDALE-PAS
1980-12-02	70.0	BURBANK-GLENDALE-PAS
1980-12-03	64.9	BURBANK-GLENDALE-PAS
1980-12-04	60.1	BURBANK-GLENDALE-PAS
1980-12-05	64.0	BURBANK-GLENDALE-PAS
1980-12-06	64.0	BURBANK-GLENDALE-PAS
1980-12-07	60.1	BURBANK-GLENDALE-PAS
1980-12-08	35.1	MOUNT WILSON
1980-12-09	46.0	MOUNT WILSON
1980-12-10	77.0	BURBANK-GLENDALE-PAS
1980-12-11	80.1	BURBANK-GLENDALE-PAS
1980-12-12	60.1	MOUNT WILSON
1980-12-13	48.9	MOUNT WILSON
1980-12-14	55.9	MOUNT WILSON
1980-12-15	84.0	BURBANK-GLENDALE-PAS
1980-12-16	64.9	MOUNT WILSON
1980-12-17	84.9	BURBANK-GLENDALE-PAS
1980-12-18	75.0	BURBANK-GLENDALE-PAS
1980-12-19	69.1	BURBANK-GLENDALE-PAS
1980-12-20	82.0	BURBANK-GLENDALE-PAS
1980-12-21	79.0	BURBANK-GLENDALE-PAS
1980-12-22	75.9	BURBANK-GLENDALE-PAS
1980-12-23	63.0	MOUNT WILSON
1980-12-24	82.0	BURBANK-GLENDALE-PAS
1980-12-25	64.0	MOUNT WILSON
1980-12-26	86.0	BURBANK-GLENDALE-PAS
1980-12-27	81.0	BURBANK-GLENDALE-PAS
1980-12-28	78.1	BURBANK-GLENDALE-PAS
1980-12-29	90.0	BURBANK-GLENDALE-PAS
1980-12-30	87.1	BURBANK-GLENDALE-PAS
1980-12-31	63.0	MOUNT WILSON
1981-01-01	57.0	MOUNT WILSON
1981-01-02	75.9	BURBANK-GLENDALE-PAS
1981-01-03	73.0	BURBANK-GLENDALE-PAS
1981-01-04	72.0	BURBANK-GLENDALE-PAS
1981-01-05	82.0	BURBANK-GLENDALE-PAS
1981-01-06	81.0	BURBANK-GLENDALE-PAS
1981-01-07	54.0	MOUNT WILSON
1981-01-08	52.0	MOUNT WILSON
1981-01-09	75.0	BURBANK-GLENDALE-PAS
1981-01-10	79.0	BURBANK-GLENDALE-PAS
1981-01-11	79.0	BURBANK-GLENDALE-PAS
1981-01-12	70.0	BURBANK-GLENDALE-PAS
1981-01-13	73.0	BURBANK-GLENDALE-PAS
1981-01-14	75.0	BURBANK-GLENDALE-PAS
1981-01-15	72.0	BURBANK-GLENDALE-PAS
1981-01-16	72.0	BURBANK-GLENDALE-PAS
1981-01-17	71.1	BURBANK-GLENDALE-PAS
1981-01-18	77.0	BURBANK-GLENDALE-PAS
1981-01-19	75.0	BURBANK-GLENDALE-PAS
1981-01-20	71.1	BURBANK-GLENDALE-PAS
1981-01-21	73.0	BURBANK-GLENDALE-PAS
1981-01-22	77.0	BURBANK-GLENDALE-PAS
1981-01-23	68.0	BURBANK-GLENDALE-PAS
1981-01-24	39.9	MOUNT WILSON
1981-01-25	44.1	MOUNT WILSON
1981-01-26	68.0	BURBANK-GLENDALE-PAS
1981-01-27	42.1	MOUNT WILSON
1981-01-28	60.1	BURBANK-GLENDALE-PAS
1981-01-29	60.1	BURBANK-GLENDALE-PAS
1981-01-30	60.1	BURBANK-GLENDALE-PAS
1981-01-31	29.1	MOUNT WILSON
1981-02-01	42.1	MOUNT WILSON
1981-02-02	75.9	BURBANK-GLENDALE-PAS
1981-02-03	73.9	BURBANK-GLENDALE-PAS
1981-02-04	68.0	BURBANK-GLENDALE-PAS
1981-02-05	71.1	BURBANK-GLENDALE-PAS
1981-02-06	71.1	BURBANK-GLENDALE-PAS
1981-02-07	69.1	BURBANK-GLENDALE-PAS
1981-02-08	69.1	BURBANK-GLENDALE-PAS
1981-02-09	62.1	BURBANK-GLENDALE-PAS
1981-02-10	66.9	BURBANK-GLENDALE-PAS
1981-02-11	66.0	BURBANK-GLENDALE-PAS
1981-02-12	80.1	BURBANK-GLENDALE-PAS
1981-02-13	82.0	BURBANK-GLENDALE-PAS
1981-02-14	60.1	MOUNT WILSON
1981-02-15	87.1	BURBANK-GLENDALE-PAS
1981-02-16	89.1	BURBANK-GLENDALE-PAS
1981-02-17	84.0	BURBANK-GLENDALE-PAS
1981-02-18	66.0	MOUNT WILSON
1981-02-19	88.0	BURBANK-GLENDALE-PAS
1981-02-20	62.1	MOUNT WILSON
1981-02-21	53.1	MOUNT WILSON
1981-02-22	84.9	BURBANK-GLENDALE-PAS
1981-02-23	82.9	BURBANK-GLENDALE-PAS
1981-02-24	75.9	BURBANK-GLENDALE-PAS
1981-02-25	63.0	BURBANK-GLENDALE-PAS
1981-02-26	33.1	MOUNT WILSON
1981-02-27	42.1	MOUNT WILSON
1981-02-28	68.0	BURBANK-GLENDALE-PAS
1981-03-01	61.0	BURBANK-GLENDALE-PAS
1981-03-02	62.1	BURBANK-GLENDALE-PAS
1981-03-03	69.1	BURBANK-GLENDALE-PAS
1981-03-04	63.0	BURBANK-GLENDALE-PAS
1981-03-05	57.9	BURBANK-GLENDALE-PAS
1981-03-06	60.1	BURBANK-GLENDALE-PAS
1981-03-07	66.0	BURBANK-GLENDALE-PAS
1981-03-08	73.9	BURBANK-GLENDALE-PAS
1981-03-09	78.1	BURBANK-GLENDALE-PAS
1981-03-10	80.1	BURBANK-GLENDALE-PAS
1981-03-11	78.1	BURBANK-GLENDALE-PAS
1981-03-12	73.0	BURBANK-GLENDALE-PAS
1981-03-13	66.0	BURBANK-GLENDALE-PAS
1981-03-14	66.9	BURBANK-GLENDALE-PAS
1981-03-15	75.0	BURBANK-GLENDALE-PAS
1981-03-16	75.0	BURBANK-GLENDALE-PAS
1981-03-17	73.0	BURBANK-GLENDALE-PAS
1981-03-18	72.0	BURBANK-GLENDALE-PAS
1981-03-19	68.0	BURBANK-GLENDALE-PAS
1981-03-20	64.0	BURBANK-GLENDALE-PAS
1981-03-21	39.9	MOUNT WILSON
1981-03-22	45.0	MOUNT WILSON
1981-03-23	57.0	MOUNT WILSON
1981-03-24	61.0	MOUNT WILSON
1981-03-25	75.9	BURBANK-GLENDALE-PAS
1981-03-26	72.0	BURBANK-GLENDALE-PAS
1981-03-27	68.0	BURBANK-GLENDALE-PAS
1981-03-28	68.0	BURBANK-GLENDALE-PAS
1981-03-29	66.0	BURBANK-GLENDALE-PAS
1981-03-30	69.1	BURBANK-GLENDALE-PAS
1981-03-31	55.0	MOUNT WILSON
1981-04-01	54.0	MOUNT WILSON
1981-04-02	64.9	BURBANK-GLENDALE-PAS
1981-04-03	68.0	BURBANK-GLENDALE-PAS
1981-04-04	82.0	BURBANK-GLENDALE-PAS
1981-04-05	87.1	BURBANK-GLENDALE-PAS
1981-04-06	84.9	BURBANK-GLENDALE-PAS
1981-04-07	78.1	BURBANK-GLENDALE-PAS
1981-04-08	70.0	BURBANK-GLENDALE-PAS
1981-04-09	66.9	MOUNT WILSON
1981-04-10	70.0	BURBANK-GLENDALE-PAS
1981-04-11	57.9	MOUNT WILSON
1981-04-12	75.0	BURBANK-GLENDALE-PAS
1981-04-13	75.0	BURBANK-GLENDALE-PAS
1981-04-14	75.0	BURBANK-GLENDALE-PAS
1981-04-15	66.0	MOUNT WILSON
1981-04-16	66.9	MOUNT WILSON
1981-04-17	69.1	MOUNT WILSON
1981-04-18	71.1	BURBANK-GLENDALE-PAS
1981-04-19	57.9	BURBANK-GLENDALE-PAS
1981-04-20	55.0	MOUNT WILSON
1981-04-21	79.0	BURBANK-GLENDALE-PAS
1981-04-22	64.9	MOUNT WILSON
1981-04-23	82.0	BURBANK-GLENDALE-PAS
